,loss,auc,acc,val_loss,val_auc,val_acc
0,0.7002127766609192,0.48414433002471924,0.522580623626709,0.6969394683837891,0.4677419364452362,0.5344827771186829
1,0.6951496005058289,0.5002132654190063,0.5075268745422363,0.7019060850143433,0.479689359664917,0.4655172526836395
2,0.6976999640464783,0.47833988070487976,0.5053763389587402,0.7051727771759033,0.4665471911430359,0.4655172526836395
3,0.6930791139602661,0.5171537399291992,0.5311827659606934,0.6947423219680786,0.4719235301017761,0.4655172526836395
4,0.6948075890541077,0.5115811824798584,0.5182795524597168,0.7015641927719116,0.4749103784561157,0.4482758641242981
5,0.6962070465087891,0.5066667795181274,0.5118279457092285,0.6996897459030151,0.4545997381210327,0.4655172526836395
6,0.6924300193786621,0.5265558958053589,0.5462365746498108,0.6976025104522705,0.46714454889297485,0.48275861144065857
7,0.6957896947860718,0.4961983561515808,0.5161290168762207,0.6889334321022034,0.5567502975463867,0.5517241358757019
8,0.6955055594444275,0.5084006786346436,0.522580623626709,0.6950226426124573,0.5573476552963257,0.5
9,0.6972779631614685,0.47405606508255005,0.49462366104125977,0.6851558089256287,0.5459976196289062,0.4655172526836395
