,loss,auc,acc,val_loss,val_auc,val_acc
0,0.6936152577400208,0.5544562935829163,0.5526881814002991,0.7545831203460693,0.5525687336921692,0.48275861144065857
1,0.7132628560066223,0.45185816287994385,0.46881720423698425,0.739501416683197,0.5884109735488892,0.4655172526836395
2,0.7038745284080505,0.4739818572998047,0.4903225898742676,0.7031749486923218,0.5262843370437622,0.5344827771186829
3,0.6991577744483948,0.48449668288230896,0.49892473220825195,0.6999254822731018,0.34886497259140015,0.36206895112991333
4,0.6983381509780884,0.5182108283042908,0.5032258033752441,0.6827620267868042,0.6039426326751709,0.6206896305084229
5,0.6948473453521729,0.5125454068183899,0.5311827659606934,0.7084982395172119,0.6362007260322571,0.4655172526836395
6,0.6987203359603882,0.5076867341995239,0.5333333611488342,0.7540398836135864,0.2765830159187317,0.5344827771186829
7,0.700819194316864,0.4560307264328003,0.46881720423698425,0.6883582472801208,0.5925925374031067,0.5344827771186829
8,0.6977835893630981,0.46521028876304626,0.501075267791748,0.7188279628753662,0.47729986906051636,0.5344827771186829
9,0.7008343935012817,0.4505600333213806,0.4903225898742676,0.6894205808639526,0.5675029754638672,0.5517241358757019
